"date_litter","stage","weight","species","confidence"
"14/08/20","11.25",124,"ham","medium"
"14/08/20","11.25",142,"ham","medium"
"14/08/20","11.25",152,"ham","medium"
"19/06/20","11.25",94,"ham","medium"
"19/06/20","11.25",120,"ham","medium"
"19/06/20","11.25",123,"ham","medium"
"19/06/20","11.25",125,"ham","medium"
"19/06/20","11.25",140,"ham","medium"
"19/06/20","11.25",155,"ham","medium"
"19/06/20","11.25",159,"ham","medium"
"19/06/20","11.25",164,"ham","medium"
"19/06/20","11.25",167,"ham","medium"
"26/06/20","11.25",123,"ham","medium"
"26/06/20","11.25",131,"ham","medium"
"26/06/20","11.25",137,"ham","medium"
"26/06/20","11.25",143,"ham","medium"
"26/06/20","11.25",149,"ham","medium"
"26/06/20","11.25",150,"ham","medium"
"26/06/20","11.25",154,"ham","medium"
"26/06/20","11.25",155,"ham","medium"
"26/06/20","11.25",156,"ham","medium"
"26/06/20","11.25",162,"ham","medium"
"26/06/20","11.25",166,"ham","medium"
"03/20/2019","11.5",189,"ham","medium"
"03/20/2019","11.5",172,"ham","medium"
"03/20/2019","11.5",175,"ham","medium"
"03/20/2019","11.5",181,"ham","medium"
"03/20/2019","11.5",182,"ham","medium"
"03/20/2019","11.5",184,"ham","medium"
"03/20/2019","11.5",188,"ham","medium"
"03/20/2019","11.5",190,"ham","medium"
"03/20/2019","11.5",204,"ham","medium"
"03/20/2019","11.5",209,"ham","medium"
"07/01/19",12,126,"ham","medium"
"07/01/19",12,152,"ham","medium"
"07/01/19",12,143,"ham","medium"
"07/01/19",12,145,"ham","medium"
"07/01/19",12,161,"ham","medium"
"07/01/19",12,165,"ham","medium"
"07/01/19",12,166,"ham","medium"
"07/01/19",12,175,"ham","medium"
"07/01/19",12,178,"ham","medium"
"07/01/19",12,196,"ham","medium"
"07/01/19",12,202,"ham","medium"
"10/12/19",12,145,"ham","medium"
"10/12/19",12,152,"ham","medium"
"10/12/19",12,162,"ham","medium"
"10/12/19",12,167,"ham","medium"
"10/12/19",12,174,"ham","medium"
"10/12/19",12,184,"ham","medium"
"11/03/19",12,195,"ham","medium"
"11/03/19",12,204,"ham","medium"
"11/03/19",12,207,"ham","medium"
"11/03/19",12,214,"ham","medium"
"11/03/19",12,220,"ham","medium"
"11/03/19",12,230,"ham","medium"
"11/03/19",12,231,"ham","medium"
"11/03/19",12,256,"ham","medium"
"16/10/19",12,160,"ham","medium"
"16/10/19",12,215,"ham","medium"
"16/10/19",12,227,"ham","medium"
"16/10/19",12,174,"ham","medium"
"16/10/19",12,176,"ham","medium"
"16/10/19",12,182,"ham","medium"
"16/10/19",12,185,"ham","medium"
"16/10/19",12,187,"ham","medium"
"16/10/19",12,198,"ham","medium"
"16/10/19",12,205,"ham","medium"
"31/07/19",12,81,"ham","medium"
"31/07/19",12,96,"ham","medium"
"31/07/19",12,107,"ham","medium"
"31/07/19",12,50,"ham","medium"
"31/07/19",12,54,"ham","medium"
"31/07/19",12,75,"ham","medium"
"31/07/19",12,76,"ham","medium"
"31/07/19",12,83,"ham","medium"
"31/07/19",12,86,"ham","medium"
"31/07/19",12,87,"ham","medium"
"05/06/20","12.25",240,"ham","medium"
"05/06/20","12.25",273,"ham","medium"
"05/06/20","12.25",288,"ham","medium"
"05/06/20","12.25",288,"ham","medium"
"05/06/20","12.25",293,"ham","medium"
"05/06/20","12.25",301,"ham","medium"
"05/06/20","12.25",308,"ham","medium"
"05/06/20","12.25",318,"ham","medium"
"05/06/20","12.25",318,"ham","medium"
"05/06/20","12.25",326,"ham","medium"
"05/06/20","12.25",337,"ham","medium"
"05/06/20","12.25",342,"ham","medium"
"05/06/20","12.25",348,"ham","medium"
"05/06/20","12.25",362,"ham","medium"
"05/06/20","12.25",367,"ham","medium"
"05/06/20","12.25",389,"ham","medium"
"12/06/20","12.25",181,"ham","medium"
"12/06/20","12.25",185,"ham","medium"
